구분,주소,등록번호,부동산명,연락처,대표,sggNm,보증보험,등록일자
송파동,"서울특별시 송파구 오금로32길 44 101호(송파동, 현대상가)",9253-5104,반석공인중개사사무소,02-415-5989,한병석,송파구,유,2005-07-29
송파동,서울특별시 송파구 백제고분로45길 22-1 1층(송파동),9253-5074,성실공인중개사사무소,02-423-2489,송해기,송파구,유,2005-07-22
송파동,"서울특별시 송파구 가락로 136 ,1층 (송파동)",가9252-2056,백마부동산중개인사무소,02-414-6600,한원석,송파구,유,2005-07-08
송파동,서울특별시 송파구 가락로21길 34 (송파동),9253-5041,신신공인중개사사무소,412-1134,구순옥,송파구,유,2005-07-06
석촌동,서울특별시 송파구 가락로12길 5 1층(석촌동),9253-4909,제일공인중개사사무소,"400-6626, 400-6627",박영이,송파구,유,2005-03-31
석촌동,서울특별시 송파구 석촌호수로18길 14 (석촌동),9253-4847,미성공인중개사사무소,424-0006,김용은,송파구,유,2005-03-02
송파동,서울특별시 송파구 가락로 133 (송파동),9253-4679,태양공인중개사사무소,418-0020,김재환,송파구,유,2004-10-01
석촌동,서울특별시 송파구 백제고분로39길 9 1층 (석촌동),9253-4657,세진공인중개사사무소,413-7733,박수자,송파구,유,2004-09-02
석촌동,서울특별시 송파구 백제고분로39길 14 (석촌동),9253-4597,주머니공인중개사사무소,02-3431-8200,백남준,송파구,유,2004-06-29
석촌동,서울특별시 송파구 가락로 50 1층 (석촌동),11710-2020-00124,꿈꾸는헬리오부동산공인중개사사무소,02-415-0909,김선희,송파구,유,2004-03-18
송파동,서울특별시 송파구 송파대로38길 2-9 102호 (송파동),9253-4375,씨티공인중개사사무소,430-2222,박경현,송파구,유,2004-02-13
석촌동,서울특별시 송파구 백제고분로34길 15 (석촌동),9253-4341,합동공인중개사사무소,02-423-8949,김정희,송파구,유,2004-01-27
석촌동,서울특별시 송파구 가락로5길 3 (석촌동),9253-4275,금성공인중개사사무소,424-1230,서이임,송파구,유,2003-12-19
송파동,"서울특별시 송파구 가락로28길 5 101동 101호(송파동, 더헤리움)",9253-4073,럭키공인중개사사무소,02-419-3735,정택만,송파구,유,2003-09-02
송파동,서울특별시 송파구 가락로 183 한양상가 1층11호(송파동),9253-4072,한양공인중개사사무소,02-416-9000,김동재,송파구,유,2003-08-29
석촌동,서울특별시 송파구 백제고분로40길 4 (석촌동),9253-3690,송파공인중개사사무소,02-414-9455,이홍배,송파구,유,2003-02-17
석촌동,서울특별시 송파구 가락로11길 15 (석촌동),9252-2500,낙원공인중개사사무소,425-3860,권진숙,송파구,유,2002-07-05
석촌동,서울특별시 송파구 가락로11길 11 1층 (석촌동),9253-3329,한솔공인중개사사무소,"420-8400, 419-4050",서점숙,송파구,유,2002-06-14
송파동,"서울특별시 송파구 오금로32길 14 101동 112호 (송파동, 송파삼성래미안아파트)",9253-3043,삼삼공인중개사사무소,02-3431-8949,김인,송파구,유,2001-12-26
송파동,서울특별시 송파구 오금로32길 14 삼성래미안(아) 101동 120호(송파동),9253-3010,부자촌공인중개사사무소,424-8840,강내원,송파구,유,2001-12-14
송파동,서울특별시 송파구 백제고분로 423 1층 (송파동),9253-2820,부동산써브우리공인중개사사무소,02-423-4489,유호윤,송파구,유,2001-06-08
석촌동,서울특별시 송파구 가락로 77 1층 (석촌동),9253-2701,STAR-경성공인중개사사무소,400-7070,고승균,송파구,유,2001-02-27
석촌동,서울특별시 송파구 백제고분로39길 16 (석촌동),9253-2553,하버드랜드공인중개사사무소,2203-9292,서덕모,송파구,유,2000-09-28
송파동,서울특별시 송파구 백제고분로42길 17 101호(송파동),9253-2466,잠실공인중개사사무소,418-8944,강성룡,송파구,유,2000-05-23
석촌동,"서울특별시 송파구 가락로 75 , 1층 (석촌동)",9253-2420,가락공인중개사사무소,02-419-4988,박성호,송파구,유,2000-04-06
석촌동,서울특별시 송파구 삼학사로6길 16-1 1층(석촌동),9253-2100,창신공인중개사사무소,408-2121,이영석,송파구,유,1999-07-28
석촌동,서울특별시 송파구 가락로 66 (석촌동),9253-2022,대신공인중개사사무소,425-5959,최낙서,송파구,유,1999-05-17
석촌동,서울특별시 송파구 가락로16길 4 (석촌동),9253-2006,한라공인중개사사무소,424-4800,김원걸,송파구,유,1999-04-23
송파동,서울특별시 송파구 오금로 172 (송파동),9252-0344,새한공인중개사사무소,413-6100,배준오,송파구,유,1986-08-05
석촌동,서울특별시 송파구 백제고분로39길 33 (석촌동),가9252-1875,더존부동산중개인사무소,"02-425-5454, 02-422-5744, 02-419-4805, 02-416-1882",김성호,송파구,유,1986-07-04
송파동,서울특별시 송파구 송파대로42길 4 (송파동),가9252-1695,현대부동산중개인사무소,417-9061,이동선,송파구,유,1986-03-19
송파동,서울특별시 송파구 백제고분로45길 5 (송파동),가9252-1556,일신공인중개사사무소,02-414-3704,김성한,송파구,유,1985-11-30
석촌동,서울특별시 송파구 가락로 38 1층 (석촌동),가9252-1059,달성부동산중개사무소,417-1954,서태혁,송파구,유,1985-04-18
송파동,서울특별시 송파구 가락로 173-1 (송파동),가9252-592,청용부동산중개인사무소,423-4024,백태순,송파구,유,1984-09-24
송파동,송파동  52 - 15  ,나9252-9-95,삼성중개인사무소,-,강상구,송파구,무,1984-06-26
석촌동,서울특별시 송파구 백제고분로34길 15 (석촌동),나9252-19-150,합동부동산중개인사무소,414-9036,여은덕,송파구,유,1984-06-19
석촌동,서울특별시 송파구 송파대로37길 70 1층8호 (석촌동),나9252-19-140,동우부동산중개인사무소,418-3030,최낙상,송파구,유,1984-06-13
석촌동,서울특별시 송파구 가락로11길 33 1층 (석촌동),11710-2018-00221,굿모닝공인중개사사무소,02-423-2366,박철현,송파구,,
