구분,주소,등록번호,cmpNm,연락처,대표,sggNm,보증보험,REG_YMD
송파동,서울특별시 송파구 백제고분로41길 7-23 1층 (송파동),11710-2017-00389,정상부동산공인중개사사무소,02-563-9223,김상국,송파구,유,20171101
송파동,서울특별시 송파구 백제고분로46길 10 (송파동),9253-7429,정은공인중개사사무소,02-423-0080,송재원,송파구,유,20090730
송파동,서울특별시 송파구 백제고분로45길 36 1층 (송파동),9253-8055,주머니공인중개사사무소,02-414-8984,임희중,송파구,유,20110103
송파동,서울특별시 송파구 백제고분로41길 7-15 2층 (송파동),11710-2020-00141,주식회사 부동산중개법인지피랜드,-,정두철,송파구,유,20200609
송파동,서울특별시 송파구 백제고분로 382 1층(송파동),11710-2018-00429,주식회사 전국부동산중개법인,"02-420-0008, 02-424-8008",이연옥,송파구,유,20181025
송파동,서울특별시 송파구 오금로 170 3층(송파동),11710-2022-00146,주식회사부동산중개법인다올,-,임동갑,송파구,유,20220503
송파동,서울특별시 송파구 백제고분로 379 2층,11305-2022-00059-006,주식회사집토스부동산중개(분사무소),02-6954-3289,성재필,강북구,유,20211021
송파동,서울특별시 송파구 백제고분로 383 3층(송파동),11710-2022-00242,주식회사해담부동산중개법인,02-552-4300,김효실,송파구,유,20190619
송파동,서울특별시 송파구 백제고분로42길 16 (송파동),9253-8266,중앙공인중개사사무소,415-3131,김선화,송파구,유,20110719
송파동,서울특별시 송파구 오금로24길 41 1층(송파동),11710-2018-00118,천지공인중개사사무소,02-416-6500,임성주,송파구,유,20180314
송파동,서울특별시 송파구 가락로 173-1 (송파동),가9252-592,청용부동산중개인사무소,423-4024,백태순,송파구,유,19840924
송파동,서울특별시 송파구 송파대로36가길 15-22 1층 (송파동),9253-5747,청호공인중개사사무소,02-3432-4989,이봉수,송파구,유,20060526
송파동,서울특별시 송파구 오금로18길 4-10 1층(송파동),11710-2021-00115,타워공인중개사사무소,02-424-0359,이규화,송파구,유,20210413
송파동,서울특별시 송파구 백제고분로45길 8 1층 (송파동),11710-2015-00203,탑공인중개사사무소,02-422-0049,홍경화,송파구,유,20150803
송파동,서울특별시 송파구 가락로 133 (송파동),9253-4679,태양공인중개사사무소,418-0020,김재환,송파구,유,20041001
송파동,"서울특별시 송파구 오금로32길 31 상가동 104호,106호 (송파동, 래미안송파파인탑)",9253-8419,파인탑공인중개사사무소,418-7272,김인숙,송파구,유,20120109
송파동,서울특별시 송파구 백제고분로42길 14 1층 (송파동),9253-8522,평안공인중개사사무소,02-421-2449,오문열,송파구,유,20120507
송파동,서울특별시 송파구 오금로32길 30 1층(송파동),11710-2018-00447,하나공인중개사사무소,02-420-7200,장미주,송파구,유,20181107
송파동,서울특별시 송파구 백제고분로46길 39 1층 (송파동),9253-7891,한강공인중개사사무소,419-3939,최정희,송파구,유,20100630
송파동,서울특별시 송파구 백제고분로46길 3 1층(송파동),9253-8885,한국공인중개사사무소,-,김미정,송파구,유,20130820
송파동,서울특별시 송파구 백제고분로46길 26 1층(송파동),9253-6128,한송422-8945공인중개사사무소,02-422-8945,한인복,송파구,유,20070119
송파동,서울특별시 송파구 송이로 26 1층 (송파동),9253-9085,한스공인중개사사무소,02-416-8484,김철호,송파구,유,20140502
송파동,서울특별시 송파구 가락로 183 한양상가 1층11호(송파동),9253-4072,한양공인중개사사무소,02-416-9000,김동재,송파구,유,20030829
송파동,서울특별시 송파구 백제고분로41길 19-1 1층 (송파동),9253-9086,해오름공인중개사사무소,425-1149,장희숙,송파구,유,20140502
송파동,서울특별시 송파구 백제고분로41길 27 1층(송파동),11710-2021-00191,해피공인중개사사무소,02-418-8182,김태형,송파구,유,20210719
송파동,서울특별시 송파구 송파대로38길 2-9 111호(송파동),11710-2019-00092,헬리오동심공인중개사사무소,02-401-2882,하유선,송파구,유,20190305
송파동,서울특별시 송파구 송파대로 448-1 1층(송파동),9253-8467,현대공인중개사사무소,02-422-6464,이동은,송파구,유,20120228
송파동,서울특별시 송파구 송파대로42길 4 (송파동),가9252-1695,현대부동산중개인사무소,417-9061,이동선,송파구,유,19860319
송파동,서울특별시 송파구 백제고분로45길 16 1층 (송파동),11710-2015-00098,호수공인중개사사무소,"02-417-0330, 02-417-0090",이상미,송파구,유,20150406
송파동,서울특별시 송파구 송파대로36길 32 1층(송파동),11710-2016-00049,홍익공인중개사사무소,"02-422-4959, 02-402-0006",박태근,송파구,유,20160205
송파동,서울특별시 송파구 가락로 183 한양아파트상가 1층12호(송파동),9253-6366,화랑공인중개사사무소,414-8884,정윤용,송파구,유,20070518
송파동,서울특별시 송파구 백제고분로41길 21 1층 (송파동),11710-2022-00073,황금공인중개사사무소,"02-2203-4989, 02-2203-4988",김진영,송파구,유,20220215
